feature_type,geo_type,catalogue_url,feed_url,last_updated,license
aqueduct,point,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-aqueducts-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Aqueducts_view/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,OGL
boat_lift,point,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-boat-lifts-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Boat_Lifts_View/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,OGL
bridge,point,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-bridges-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Bridges_View/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,OGL
canal_km,line,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-canals-by-km-length-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Canals_By_KM_Length_View/FeatureServer/1/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,CRT
canal_navs,line,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-canals-by-navigation-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Canals_By_Navigation_View/FeatureServer/1/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,CRT
culvert,point,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-culverts-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Culverts_View/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,OGL
dock,polygon,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-docks-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Docks_View/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,INSPIRE
dry_dock,point,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-dry-docks-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Dry_Docks_view/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,OGL
embankment,polygon,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-embankments-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Embankments_View/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-09-24,INSPIRE
lake_pond_fishery,point,https://data-canalrivertrust.opendata.arcgis.com/datasets/CanalRiverTrust::canal-and-river-trust-lakes-ponds-fisheries-view/about,https://services.arcgis.com/DknzyjEEie5tEW0u/arcgis/rest/services/Canal_And_River_Trust_Lakes_Ponds_Fisheries_View/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,2025-07-12,OGL
